align_id	align_description	matched_label	group
PRGD_OTU030_4f8085b149e46cc71638bd2c11dcfa12	PRGD_OTU030_4f8085b149e46cc71638bd2c11dcfa12	PRGD_OTU030_4f8085b149e46cc71638bd2c11dcfa12	cellular
PRGD_OTU274_otuREP_5842f9e415bf3c8966750cc35ddcc736	PRGD_OTU274_otuREP_5842f9e415bf3c8966750cc35ddcc736	PRGD_OTU274_otuREP_5842f9e415bf3c8966750cc35ddcc736	cellular
PRGD_OTU207_20682a086bb2bdf37dc228c09e39d8c7	PRGD_OTU207_20682a086bb2bdf37dc228c09e39d8c7	PRGD_OTU207_20682a086bb2bdf37dc228c09e39d8c7	cellular
PRGD_OTU045_6976e5e0196b17c987a9f556d04ca74f	PRGD_OTU045_6976e5e0196b17c987a9f556d04ca74f	PRGD_OTU045_6976e5e0196b17c987a9f556d04ca74f	cellular
SCGC_AAA041G17_Betaproteobacteria_HQ663776	SCGC_AAA041G17_Betaproteobacteria_HQ663776	SCGC_AAA041G17_Betaproteobacteria_HQ663776	cellular
443241923_1098224_1099063_Nonlabens_dokdonensis_DSW_6_NQ_rhodopsin_genome	443241923_1098224_1099063_Nonlabens_dokdonensis_DSW_6_NQ_rhodopsin_genome	443241923_1098224_1099063_Nonlabens_dokdonensis_DSW_6_NQ_rhodopsin_genome	cellular
Gillisia_limnaea_DSM_15749_Gilliscaffold_2_WGS_JH594606	Gillisia_limnaea_DSM_15749_Gilliscaffold_2_WGS_JH594606	Gillisia_limnaea_DSM_15749_Gilliscaffold_2_WGS_JH594606	cellular
211594571_330898_331788_Fulvimarina_pelagi_HTCC2506_scf_1100011000323_NQ_rhodopsin_WGS	211594571_330898_331788_Fulvimarina_pelagi_HTCC2506_scf_1100011000323_NQ_rhodopsin_WGS	211594571_330898_331788_Fulvimarina_pelagi_HTCC2506_scf_1100011000323_NQ_rhodopsin_WGS	cellular
341575923_195787_196710_Citromicrobium_sp_JLT1363_contig00008_NQ_rhodopsin_WGS	341575923_195787_196710_Citromicrobium_sp_JLT1363_contig00008_NQ_rhodopsin_WGS	341575923_195787_196710_Citromicrobium_sp_JLT1363_contig00008_NQ_rhodopsin_WGS	cellular
PRGD_OTU030_7a6033a00817057715873eec0d53456d	PRGD_OTU030_7a6033a00817057715873eec0d53456d	PRGD_OTU030_7a6033a00817057715873eec0d53456d	cellular
PRGD_OTU303_otuREP_081f2becac6ce6c8fe378e73ce8dd209	PRGD_OTU303_otuREP_081f2becac6ce6c8fe378e73ce8dd209	PRGD_OTU303_otuREP_081f2becac6ce6c8fe378e73ce8dd209	cellular
clone_Superior_LGR_F1_rhodopsin_gene_partial_cds_FJ545156	clone_Superior_LGR_F1_rhodopsin_gene_partial_cds_FJ545156	clone_Superior_LGR_F1_rhodopsin_gene_partial_cds_FJ545156	cellular
Roseiflexus_sp_RS_1_genome_NC_009523	Roseiflexus_sp_RS_1_genome_NC_009523	Roseiflexus_sp_RS_1_genome_NC_009523	cellular
fosmid_HF10_22D03_env_samples_DQ156372	fosmid_HF10_22D03_env_samples_DQ156372	fosmid_HF10_22D03_env_samples_DQ156372	cellular
BOUM_OTU067_env_samples	BOUM_OTU067_env_samples	BOUM_OTU067_env_samples	cellular
PRGD_OTU169_06b7cf98ba823a6f26f92a099ccd80df	PRGD_OTU169_06b7cf98ba823a6f26f92a099ccd80df	PRGD_OTU169_06b7cf98ba823a6f26f92a099ccd80df	cellular
PRGD_OTU150_fbc3bb2eae1d63c89d44556a5b185ffa	PRGD_OTU150_fbc3bb2eae1d63c89d44556a5b185ffa	PRGD_OTU150_fbc3bb2eae1d63c89d44556a5b185ffa	cellular
PRGD_OTU168_otuREP_318294f3e55f08aad43cc2a430f0812a	PRGD_OTU168_otuREP_318294f3e55f08aad43cc2a430f0812a	PRGD_OTU168_otuREP_318294f3e55f08aad43cc2a430f0812a	cellular
PRGD_OTU291_otuREP_2d33c511618206563aec0d050cb11515	PRGD_OTU291_otuREP_2d33c511618206563aec0d050cb11515	PRGD_OTU291_otuREP_2d33c511618206563aec0d050cb11515	cellular
PRGD_OTU187_3065f7a0356a9a531bac4ccbd7e5b199	PRGD_OTU187_3065f7a0356a9a531bac4ccbd7e5b199	PRGD_OTU187_3065f7a0356a9a531bac4ccbd7e5b199	cellular
PRGD_OTU176_otuREP_b503107d2a02a2b1442310e9dde74ea0	PRGD_OTU176_otuREP_b503107d2a02a2b1442310e9dde74ea0	PRGD_OTU176_otuREP_b503107d2a02a2b1442310e9dde74ea0	cellular
PRGD_OTU311_otuREP_57fbff867e9b11c750a76eaadc25bf53	PRGD_OTU311_otuREP_57fbff867e9b11c750a76eaadc25bf53	PRGD_OTU311_otuREP_57fbff867e9b11c750a76eaadc25bf53	cellular
PRGD_OTU254_otuREP_f24e8d655242a8fbb8e6110e9061fa6e	PRGD_OTU254_otuREP_f24e8d655242a8fbb8e6110e9061fa6e	PRGD_OTU254_otuREP_f24e8d655242a8fbb8e6110e9061fa6e	cellular
PRGD_OTU316_otuREP_80af9bb80d61f9a3bf0c2b2b10593167	PRGD_OTU316_otuREP_80af9bb80d61f9a3bf0c2b2b10593167	PRGD_OTU316_otuREP_80af9bb80d61f9a3bf0c2b2b10593167	cellular
PRGD_OTU098_126e0cf533320cc70ad539874931aaee	PRGD_OTU098_126e0cf533320cc70ad539874931aaee	PRGD_OTU098_126e0cf533320cc70ad539874931aaee	cellular
PRGD_OTU328_otuREP_e14a9f1560760754c237237446b871ee	PRGD_OTU328_otuREP_e14a9f1560760754c237237446b871ee	PRGD_OTU328_otuREP_e14a9f1560760754c237237446b871ee	cellular
